title,origin,year,decision,criterio,motivo,decision_final,resolucion
Seismic risk assessment of regional bridge networks using a stochastic emulator surrogate model,Scopus only,2027,EXCLUDE,E1,"Evalúa riesgo sísmico de puentes mediante modelos sustitutos, sin relación con perfiles conductuales de inversionistas (E1).",EXCLUDE,
Behavioural biases and investment decisions with mediating role of risk perception and moderating role of financial literacy,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Estudia inversionistas minoristas del PSX y el efecto de sesgos conductuales y percepción de riesgo sobre decisiones de inversión en acciones (I1-I4).,INCLUDE,
Behavioral portfolio decisions in a GARCH world,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Modela teóricamente decisiones de cartera de inversionistas conductuales (aversión a la pérdida, horizonte de inversión) bajo teoría de las perspectivas para activos de riesgo (I1-I4).",INCLUDE,
Behaviorally informed deep reinforcement learning for portfolio optimization with loss aversion and overconfidence,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Integra aversión a la pérdida y exceso de confianza como sesgos conductuales del inversionista en un marco de optimización de cartera sobre criptoactivos y acciones (I1-I4).,INCLUDE,
Islamic Values and Gen Z's Investment Behavior in the Sharia Stock Market: Beyond Rationality,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Analiza cómo la percepción de riesgo y la alfabetización financiera influyen en decisiones de inversión bursátil de inversionistas individuales Gen Z (I1-I4).,INCLUDE,
A cultural finance perspective on the low volatility anomaly,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Evidencia empírica de canales conductuales (exceso de confianza, aversión a la pérdida) que explican la anomalía de baja volatilidad en mercados accionarios (I1-I4).",INCLUDE,
Cybercrime in digital asset markets: evidence from high-frequency cryptocurrency data and implications for MiCA,Scopus only,2026,UNCERTAIN,AMBIGUO,"Mezcla ciberseguridad de criptomercados con marcos conductuales (manada, aversión a la pérdida, aprendizaje del inversionista); no es claro si el enfoque principal es el comportamiento del inversionista o el riesgo cibernético/regulatorio (AMBIGUO).",EXCLUDE,"Excluido por decision explicita del autor de la tesis (2026-08-16): ante la duda sobre ajuste con los criterios de poblacion/constructo/activo, se opta por excluir por precaucion. Registro identificado queda disponible para reconsideracion en fases posteriores si se requiere."
From Financial Literacy to Investment Intention: The Sequential Roles of Risk Perception and Trust,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Examina cómo la alfabetización financiera y la percepción de riesgo influyen en la intención de inversión de inversionistas individuales (I1-I4).,INCLUDE,
Behavioral Biases and Investor Decision-Making in the Saudi Stock Market: The Moderating Roles of Overconfidence and Loss Aversion in an Islamic and Oil-Dependent Economy,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Analiza exceso de confianza, efecto manada, anclaje y aversión a la pérdida en inversionistas minoristas del mercado saudí (I1-I4).",INCLUDE,
Optimizing commodity investor decision-making: A metaheuristic approach to addressing behavioral biases in finance,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Examina aversión al riesgo y percepción de riesgo de inversionistas individuales en commodities (I1-I4).,INCLUDE,
Expert-Based Risk Mapping for Low-Carbon Hydrogen Production Under Geopolitical Constraints: A Case Study of Russia,Scopus + WoS,2026,EXCLUDE,E2,"Mapeo de riesgos de un proyecto de hidrógeno bajo en carbono a nivel de sistema energético, sin ángulo conductual del inversionista individual (E2).",EXCLUDE,
A PRISMA-Based Systematic Review of Behavioral Biases and Demographic Moderators in Investment Decision-Making,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Revisión sistemática PRISMA sobre sesgos conductuales (exceso de confianza, manada, aversión a la pérdida, efecto disposición) y moderadores demográficos en la toma de decisiones de inversión (I1-I4).",INCLUDE,
Revisiting risk perception in goals-based equity investment: evidence from emerging investors in Bangalore,Scopus only,2026,INCLUDE,"I1,I2,I3,I4",Analiza percepción de riesgo y características demográficas en decisiones de inversión en renta variable de inversionistas emergentes (I1-I4).,INCLUDE,
A cyber risk economics model for organization-wide risk management (CYREM-ORM),Scopus only,2026,EXCLUDE,E3,"Modelo de economía de riesgo cibernético para gestión de riesgo organizacional, sin relación con el comportamiento del inversionista individual (E3).",EXCLUDE,
Understanding Impact Investment Intention Using the Extended Theory of Planned Behaviour,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Examina la percepción de riesgo como determinante de la intención de inversión de impacto entre inversionistas indios (I1-I4).,INCLUDE,
"Political conservatism and investor risk tolerance: implications for suitability, profiling, and segmentation",Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Aporta un modelo de perfilamiento de inversionistas por tolerancia al riesgo asociado a rasgos ideológicos, con implicaciones directas para segmentación y suitability (I1-I4).",INCLUDE,
"Two financial worlds and the bridge between them: profiling crypto, traditional, and dual investors",Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4","Perfila inversionistas (cripto, tradicionales, duales) por tolerancia al riesgo y alfabetización financiera usando datos representativos de hogares (I1-I4).",INCLUDE,
Machine learning for risk profiling: An analysis of pension fund participants,Scopus + WoS,2026,INCLUDE,"I1,I2,I3,I4",Aplica machine learning al perfilamiento de riesgo de inversionistas individuales de un fondo de pensiones a partir de actitudes de riesgo autorreportadas (I1-I4).,INCLUDE,
Intelligent Borrower Profiling for Risk-Aware Loan Decision Making and Portfolio Optimization,Scopus only,2026,EXCLUDE,E6,Trata sobre perfilamiento de prestatarios y riesgo crediticio de préstamos; población de deudores y no de inversionistas en activos financieros (E6).,EXCLUDE,
Weighted Average Cost of Capital in Declining Interest Rate Environments (Part II): Qualitative Expert Research,Scopus only,2026,EXCLUDE,E4,"Estudia la persistencia del costo de capital (WACC) corporativo mediante entrevistas a ejecutivos financieros, sin ángulo de comportamiento del inversionista individual (E4).",EXCLUDE,
An EGU Evaluation System Model To Assist Insurance Companies In Decision-Making During ExtremeWeather Events,Scopus only,2026,EXCLUDE,E5,"Modelo de evaluación de riesgo de suscripción (underwriting) para aseguradoras ante eventos climáticos extremos, sin relación con comportamiento de inversión (E5).",EXCLUDE,
Towards Understanding Financial Decision-Making in Equity Markets Among German and Indian Participants: Survey-based Findings,Scopus only,2026,INCLUDE,"I1,I2,I3,I4","Encuesta sobre respuestas conductuales de inversionistas ante riesgo e incertidumbre en mercados accionarios, incluyendo venta por pánico (I1-I4).",INCLUDE,
